City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Makat,KZ,47.6469,53.3463,48.94,61,100,5.48,overcast clouds
197,Bathsheba,BB,13.2167,-59.5167,83.01,65,20,13.8,few clouds
198,Vila Velha,BR,-20.3297,-40.2925,76.95,78,75,8.05,broken clouds
199,Kodiak,US,57.79,-152.4072,38.71,87,90,24.16,moderate rain
200,Gagret,IN,31.6667,76.0667,60.89,61,0,3.67,clear sky
201,Ormara,PK,25.2088,64.6357,79.16,60,2,6.89,clear sky
202,Mehamn,NO,71.0357,27.8492,39.15,75,40,18.41,scattered clouds
203,Filingue,NE,14.3521,3.3168,91.56,12,79,5.86,broken clouds
204,Nigran,ES,42.1415,-8.8066,62.38,100,90,13.8,fog
205,Hamilton,US,39.1834,-84.5333,59.36,96,90,3.0,moderate rain
206,Shagonar,RU,51.5333,92.8,34.43,84,41,1.14,scattered clouds
207,Port Hardy,CA,50.6996,-127.4199,48.38,57,20,13.8,few clouds
208,Kattivakkam,IN,13.2167,80.3167,77.09,76,100,4.47,overcast clouds
209,Nome,US,64.5011,-165.4064,26.67,86,90,16.11,light snow
210,Pailon,BO,-17.65,-62.75,92.3,28,75,11.9,broken clouds
211,Rawson,AR,-43.3002,-65.1023,67.53,39,52,12.35,broken clouds
212,Catarama,EC,-1.5833,-79.4667,93.27,39,72,2.62,broken clouds
213,Ati,TD,13.2154,18.3353,86.85,14,18,8.72,few clouds
214,Ketchikan,US,55.3422,-131.6461,43.27,87,90,6.91,light rain
215,Pocatello,US,42.8713,-112.4455,64.72,45,1,13.0,clear sky
216,Norman Wells,CA,65.282,-126.8329,26.64,86,75,2.3,broken clouds
217,Sorland,NO,67.667,12.6934,45.88,83,100,19.13,overcast clouds
218,Pochutla,MX,15.7432,-96.4661,88.83,64,48,6.22,scattered clouds
219,Baculin,PH,7.4525,126.5842,77.5,85,30,4.34,scattered clouds
220,Emirdag,TR,39.0197,31.15,46.78,70,20,5.5,few clouds
221,Klaksvik,FO,62.2266,-6.589,45.52,87,100,2.15,overcast clouds
222,Olafsvik,IS,64.8945,-23.7142,40.57,93,100,28.88,overcast clouds
223,Constitucion,CL,-35.3333,-72.4167,64.92,59,93,17.94,overcast clouds
224,Matadi,CD,-5.8167,13.45,77.7,79,99,2.35,overcast clouds
225,Jalu,LY,29.0331,21.5482,70.39,61,33,11.83,scattered clouds
226,Were Ilu,ET,10.6,39.4333,45.05,54,18,7.23,few clouds
227,Luanda,AO,-8.8368,13.2343,77.25,83,100,13.29,overcast clouds
228,Tefe,BR,-3.3542,-64.7114,84.31,84,20,3.44,light rain
229,Yarmouth,US,41.7057,-70.2286,53.19,77,90,10.0,overcast clouds
230,Ancona,IT,43.55,13.1667,54.66,72,91,3.0,mist
231,Axim,GH,4.8699,-2.2405,79.14,84,97,10.38,overcast clouds
232,Antofagasta,CL,-23.65,-70.4,61.88,70,5,5.03,clear sky
233,Ilulissat,GL,69.2167,-51.1,24.82,86,75,8.05,broken clouds
234,Vao,NC,-22.6667,167.4833,70.68,72,54,10.42,broken clouds
235,Cabo San Lucas,MX,22.8909,-109.9124,92.52,65,20,10.36,few clouds
236,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,75,2.3,broken clouds
237,Great Bend,US,38.3645,-98.7648,64.89,25,1,5.01,clear sky
238,Padang,ID,-0.9492,100.3543,77.54,87,79,3.29,broken clouds
239,Kungurtug,RU,50.5994,97.5228,25.48,86,38,1.97,scattered clouds
240,Muros,ES,42.7762,-9.0603,56.98,94,100,11.18,overcast clouds
241,Kalininsk,RU,51.5,44.4758,39.69,81,21,6.04,few clouds
242,Langsa,ID,4.4683,97.9683,75.04,97,100,1.14,moderate rain
243,Kidal,ML,18.4411,1.4078,86.95,14,70,4.32,broken clouds
244,Luderitz,NA,-26.6481,15.1594,60.1,80,0,9.84,clear sky
245,Ljungby,SE,56.8332,13.9408,48.79,87,55,8.34,broken clouds
246,Limanowa,PL,49.7059,20.422,47.28,59,42,5.84,scattered clouds
247,Vieste,IT,41.8825,16.175,54.1,65,43,4.18,scattered clouds
248,Sol-Iletsk,RU,51.1631,54.9918,39.42,81,80,1.79,broken clouds
249,Suda,RU,59.1525,37.5582,48.31,90,67,11.14,broken clouds
250,Tura,IN,25.5198,90.2201,64.87,84,25,4.16,scattered clouds
251,Kaitangata,NZ,-46.2817,169.8464,62.74,64,71,11.86,broken clouds
